2016,2017,2018
0.0026999691035598516,0.004010696895420551,0.003275036346167326
0.22185316794776583,0.29058866763974095,0.21915733229603857
0.3503758185081654,0.432706862526971,0.3452118375011394
0.4489383643230161,0.5265421557175863,0.44300284123904
0.5243903529775275,0.594011613091191,0.5167073991921571
0.5837343971919011,0.6418572810587583,0.5758863522394283
0.6285336121961519,0.6796977153769485,0.6217314391522795
0.6648781374320613,0.7106134017636707,0.6593327795868522
0.6959452521335614,0.736115006784777,0.6906162841899975
0.7216868205113454,0.756764869700681,0.7178192011407903
0.7443146314229574,0.7753161694313789,0.7413840554318987
0.7643823248309058,0.7915054464125418,0.7615441065382313
0.782169343043376,0.8057887513358314,0.7795133735682513
0.7983934438562728,0.8186452421548965,0.7962056328852971
0.8131696673126909,0.8310809406253311,0.8117230895403269
0.8271911822639787,0.8429862780345453,0.8260059119076343
0.840881498427959,0.8546239642767577,0.8395924037641234
0.8546229878703395,0.8658503262130348,0.8533978878646284
0.868892112293759,0.8784755137589602,0.8681012665903246
0.8859585831831168,0.893336407668717,0.8853868243662086
0.9489925503730774,0.9458807706832886,0.9469008445739746
