2016,2017,2018
0.0018916252302005887,0.0026705143973231316,0.002199877519160509
0.2000102827633108,0.19892100246102962,0.18673223233572
0.31705106316923026,0.31343429636310893,0.2942484141201587
0.41108456481773936,0.4090303774218302,0.3852366239235208
0.4879788904815346,0.48586045696928704,0.4608081358510095
0.5507319197729901,0.5481550133711584,0.5240383136111336
0.601311855344801,0.5992122028325055,0.5746920447091799
0.6419193430765494,0.6407986928750804,0.6169129457559671
0.6755014681601311,0.67509174797986,0.6526643582292505
0.7040982950378109,0.7045265537661475,0.6841380989229358
0.7289703637212366,0.7304098436961303,0.711104283730189
0.750487704695882,0.7523342655317203,0.7346476093337343
0.7702590516737632,0.7722395787367949,0.7562195529808869
0.7882195196978681,0.7898731803303367,0.7757233664796159
0.8041480653994793,0.8061680706771645,0.7936724421140311
0.8188749510604698,0.8215950993267266,0.8101732581853867
0.8334949091509417,0.8357807204530047,0.8262731588638581
0.8479250664378072,0.8502088922906567,0.8421516471617931
0.8628312077608195,0.865273020557455,0.85856893658638
0.8810458191522249,0.883105946500022,0.8782849806117582
0.9448580145835876,0.9506619572639465,0.9433131217956543
